"HOME","HPTS","H2PM","H2PA","H3PM","H3PA","HFTM","HFTA","HORB","HDRB","HAST","HSTL","HTOV","HBLK","HPF","AWAY","APTS","A2PM","A2PA","A3PM","A3PA","AFTM","AFTA","AORB","ADRB","AAST","ASTL","ATOV","ABLK","APF","WIN"
"LAL",90.0,69.0,25.0,10.0,3.0,31.0,39.0,11.0,25.0,16.0,7.0,11.0,3.0,32.0,"HOU",108.0,44.0,19.0,29.0,12.0,34.0,50.0,14.0,33.0,22.0,7.0,13.0,3.0,30.0,0
"NOP",101.0,84.0,37.0,17.0,4.0,15.0,31.0,26.0,36.0,20.0,10.0,9.0,17.0,17.0,"ORL",84.0,73.0,28.0,11.0,4.0,16.0,21.0,16.0,40.0,17.0,5.0,18.0,9.0,25.0,1
"SAS",101.0,42.0,23.0,28.0,14.0,13.0,16.0,9.0,29.0,23.0,5.0,20.0,3.0,20.0,"DAL",100.0,57.0,30.0,21.0,8.0,16.0,19.0,9.0,24.0,17.0,9.0,10.0,3.0,20.0,1
"BOS",121.0,66.0,41.0,22.0,8.0,15.0,23.0,9.0,26.0,28.0,11.0,12.0,5.0,25.0,"BKN",105.0,61.0,32.0,19.0,7.0,20.0,26.0,9.0,30.0,20.0,6.0,20.0,7.0,21.0,1
"CHA",108.0,80.0,35.0,21.0,6.0,20.0,29.0,15.0,35.0,27.0,8.0,10.0,9.0,20.0,"MIL",106.0,66.0,32.0,14.0,7.0,21.0,24.0,3.0,32.0,25.0,9.0,14.0,10.0,25.0,1
"DEN",89.0,61.0,24.0,24.0,6.0,23.0,31.0,14.0,37.0,17.0,7.0,15.0,4.0,21.0,"DET",79.0,58.0,25.0,26.0,6.0,11.0,19.0,8.0,37.0,15.0,4.0,15.0,5.0,27.0,1
"IND",103.0,56.0,30.0,25.0,8.0,19.0,28.0,14.0,36.0,22.0,5.0,17.0,13.0,24.0,"PHI",91.0,68.0,28.0,21.0,6.0,17.0,30.0,15.0,27.0,17.0,10.0,11.0,5.0,29.0,1
"MEM",105.0,67.0,39.0,15.0,4.0,15.0,20.0,10.0,23.0,21.0,10.0,17.0,5.0,21.0,"MIN",101.0,74.0,33.0,12.0,6.0,17.0,23.0,19.0,28.0,20.0,8.0,23.0,4.0,21.0,1
"MIA",107.0,53.0,30.0,28.0,9.0,20.0,23.0,12.0,32.0,20.0,9.0,14.0,3.0,17.0,"WAS",95.0,56.0,30.0,19.0,6.0,17.0,24.0,7.0,29.0,20.0,7.0,14.0,2.0,20.0,1
"NYK",80.0,68.0,28.0,17.0,3.0,15.0,17.0,14.0,24.0,19.0,9.0,11.0,5.0,22.0,"CHI",104.0,47.0,29.0,24.0,7.0,25.0,30.0,10.0,37.0,21.0,9.0,15.0,4.0,18.0,0
"PHX",119.0,50.0,29.0,32.0,16.0,13.0,18.0,9.0,31.0,23.0,5.0,14.0,3.0,25.0,"LAL",99.0,73.0,33.0,13.0,4.0,21.0,25.0,12.0,26.0,20.0,9.0,13.0,3.0,18.0,1
"POR",106.0,58.0,28.0,29.0,11.0,17.0,22.0,13.0,29.0,23.0,4.0,10.0,9.0,19.0,"OKC",89.0,65.0,31.0,16.0,2.0,21.0,26.0,14.0,29.0,19.0,9.0,13.0,5.0,28.0,1
"SAC",77.0,60.0,21.0,18.0,3.0,26.0,35.0,15.0,35.0,13.0,11.0,26.0,3.0,26.0,"GSW",95.0,48.0,27.0,27.0,6.0,23.0,32.0,7.0,37.0,21.0,12.0,22.0,8.0,32.0,0
"TOR",109.0,64.0,29.0,26.0,8.0,27.0,33.0,16.0,32.0,26.0,13.0,9.0,9.0,22.0,"ATL",102.0,58.0,27.0,22.0,13.0,9.0,17.0,10.0,32.0,26.0,6.0,17.0,8.0,24.0,1
"UTA",93.0,63.0,35.0,18.0,3.0,14.0,17.0,13.0,21.0,16.0,8.0,13.0,6.0,16.0,"HOU",106.0,47.0,22.5,28.0,13.0,22.0,32.0,11.0,30.0,20.0,7.0,15.5,4.5,26.5,0
"CLE",90.0,46.0,23.0,24.0,9.0,17.0,20.0,11.0,22.0,22.0,5.0,19.0,2.0,15.0,"NYK",95.0,57.0,31.0,12.0,6.0,15.0,18.0,9.0,26.0,30.0,9.0,15.0,1.0,26.0,0
"DAL",120.0,64.0,39.0,21.0,8.0,18.0,23.0,13.0,31.0,25.0,8.0,9.0,5.0,15.0,"UTA",102.0,48.0,22.0,35.0,14.0,16.0,18.0,15.0,25.0,22.0,6.0,16.0,0.0,21.0,1
"LAC",93.0,57.0,27.0,30.0,7.0,18.0,25.0,14.0,19.0,17.0,10.0,11.0,4.0,27.0,"OKC",89.5,54.5,26.5,18.5,4.0,24.5,30.0,11.0,34.0,21.0,7.0,17.5,3.5,27.5,1
"MIN",97.0,66.0,33.0,10.0,4.0,19.0,28.0,10.0,33.0,18.0,8.0,12.0,3.0,21.0,"DET",85.0,64.0,28.0,23.5,6.5,9.5,16.0,11.0,34.5,17.5,3.5,13.5,5.0,25.5,1
"ORL",98.0,57.0,31.0,15.0,6.0,18.0,24.0,3.0,30.0,20.0,4.0,18.0,1.0,23.0,"WAS",100.0,61.5,31.0,16.0,6.5,18.5,25.0,6.5,30.0,21.0,8.5,13.0,1.0,22.5,0
"CHI",108.0,59.0,28.0,31.0,13.0,13.0,17.0,11.0,31.0,25.0,4.0,19.0,14.0,28.0,"CLE",114.0,89.0,38.0,15.0,3.0,29.0,33.0,20.0,32.0,18.0,8.0,9.0,4.0,18.0,0
"IND",96.0,54.5,28.0,23.0,8.0,16.0,22.0,12.5,35.5,20.5,5.0,17.5,8.0,19.5,"MEM",97.0,60.0,28.0,19.0,7.0,20.0,27.0,11.0,29.0,20.0,11.0,9.0,2.0,21.0,0
"LAL",100.5,65.5,30.0,15.0,5.0,25.5,33.5,10.0,28.0,20.0,6.0,12.5,2.5,33.5,"LAC",118.0,38.0,22.0,33.0,12.0,38.0,44.0,6.0,30.0,25.0,6.0,14.0,2.0,26.0,0
"MIL",93.0,64.0,27.0,24.0,9.0,12.0,21.0,15.0,40.0,25.0,10.0,18.0,11.0,19.0,"PHI",86.0,65.5,27.5,22.0,5.5,14.5,26.0,13.5,28.5,18.5,9.5,13.5,5.0,23.5,1
"PHX",106.5,59.5,31.0,25.0,9.0,17.5,22.0,10.5,34.5,19.0,3.5,10.5,4.0,23.0,"SAS",89.0,53.0,24.0,25.0,8.0,17.0,23.0,5.0,40.0,20.0,3.0,12.0,3.0,25.0,1
